iter	Logloss
0	0.6881310899
1	0.6811907145
2	0.674700308
3	0.6684645416
4	0.6637177234
5	0.6580373894
6	0.6524581931
7	0.6471929248
8	0.641633194
9	0.6357566335
10	0.6310403121
11	0.6274180183
12	0.6223382789
13	0.6174854038
14	0.6134293572
15	0.6088116793
16	0.6043215651
17	0.6002243586
18	0.5972675443
19	0.5939493638
20	0.5901203877
21	0.5859597106
22	0.5819137061
23	0.578046878
24	0.5745814009
25	0.5718106812
26	0.5676108227
27	0.5639213192
28	0.5615921118
29	0.558136861
30	0.5552289641
31	0.5521454581
32	0.549165374
33	0.546117414
34	0.5427849721
35	0.5400684594
36	0.5374414539
37	0.5350935308
38	0.5324608272
39	0.5308940432
40	0.5282780658
41	0.5253874438
42	0.5227625162
43	0.5202752767
44	0.518081319
45	0.5157421359
46	0.5134680095
47	0.5110516592
48	0.5096355467
49	0.5072714937
50	0.5057476932
51	0.5039931879
52	0.5028643523
53	0.5012054716
54	0.4995778128
55	0.4986077826
56	0.4967533418
57	0.4958384349
58	0.4948171879
59	0.4932542645
60	0.492409687
61	0.4911137658
62	0.4897504522
63	0.4880724184
64	0.4868900512
65	0.4854094446
66	0.4840050572
67	0.4823881593
68	0.4817222289
69	0.4802755394
70	0.4790570433
71	0.4783331588
72	0.4771484715
73	0.4760208698
74	0.4749436579
75	0.4742850742
76	0.4732549151
77	0.472056518
78	0.4708906402
79	0.470406526
80	0.469093797
81	0.4681672926
82	0.467141888
83	0.4660440403
84	0.4649579271
85	0.4640879765
86	0.4629158194
87	0.4620103544
88	0.4611172532
89	0.4603003472
90	0.459420706
91	0.4586501641
92	0.4581380134
93	0.4571172961
94	0.4563281038
95	0.4555061688
96	0.4550197456
97	0.4541716097
98	0.4534339895
99	0.4526314914
100	0.4520758709
101	0.4512820508
102	0.4504807905
103	0.4501095812
104	0.4492070395
105	0.4488562573
106	0.4483211947
107	0.4475112662
108	0.4469962793
109	0.4463813783
110	0.4461798899
111	0.4451547921
112	0.4446328804
113	0.4438458465
114	0.4436674874
115	0.4429457199
116	0.4425637103
117	0.441919254
118	0.4414057988
119	0.4408178126
120	0.4403239043
121	0.4397001164
122	0.4389522414
123	0.4385030602
124	0.4380605567
125	0.437387204
126	0.4371823181
127	0.4365927909
128	0.4360067774
129	0.4355289677
130	0.4351011698
131	0.4345160697
132	0.4341422005
133	0.4336575795
134	0.4332318673
135	0.4328021174
136	0.4323490563
137	0.4321595352
138	0.4318039638
139	0.4316224894
140	0.4310118994
141	0.4307202459
142	0.4303637727
143	0.4298248963
144	0.4293613996
145	0.4290143186
146	0.4286276401
147	0.428469978
148	0.4282064974
149	0.4277526329
150	0.4273328793
151	0.426878221
152	0.4266136542
153	0.4262411202
154	0.4258570519
155	0.4257346887
156	0.4254085533
157	0.4251957392
158	0.4248766046
159	0.4244774101
160	0.4242075897
161	0.4236715358
162	0.423551161
163	0.423402806
164	0.4230702745
165	0.4228143157
166	0.4226069509
167	0.4221872442
168	0.4219814227
169	0.4217368991
170	0.4216301721
171	0.4214805763
172	0.4213212361
173	0.4212228269
174	0.4210689088
175	0.420783344
176	0.420487188
177	0.4204090003
178	0.4201233775
179	0.4198019965
180	0.4196620993
181	0.4194254954
182	0.4191641053
183	0.4190187215
184	0.4187543433
185	0.4185541097
186	0.4183803895
187	0.4181466084
188	0.4178185654
189	0.4176522913
190	0.4174242845
191	0.4171213764
192	0.4168519449
193	0.4167057343
194	0.4163099225
195	0.4160406179
196	0.4158841289
197	0.4156519019
198	0.415474919
199	0.4152324085
200	0.4150465885
201	0.4147970368
202	0.4146098203
203	0.4143180487
204	0.4140483303
205	0.4137984281
206	0.4136513709
207	0.4136372319
208	0.4133499229
209	0.4132775204
210	0.4131531001
211	0.4129284384
212	0.4128073565
213	0.4126870634
214	0.4126399553
215	0.4126283295
216	0.4124908894
217	0.4122363334
218	0.4121635823
219	0.4120918715
220	0.4119190585
221	0.411669091
222	0.4115037729
223	0.4113101429
224	0.4110639739
225	0.4108253768
226	0.4106959691
227	0.4106259908
228	0.4104821044
229	0.4102722404
230	0.4101264879
231	0.4098238763
232	0.4096610999
233	0.4096048483
234	0.4094068325
235	0.409328323
236	0.4092406609
237	0.4091034194
238	0.4088207431
239	0.4086962517
240	0.4085739071
241	0.4085196688
242	0.4083374625
243	0.4082946428
244	0.4081662923
245	0.4080517959
246	0.4079479815
247	0.4078232083
248	0.4077251463
249	0.4074902231
250	0.407382577
251	0.4072979777
252	0.4071668704
253	0.4070847752
254	0.4069939923
255	0.4068596012
256	0.4067836947
257	0.4067161946
258	0.4067118052
259	0.4064752826
260	0.4063580176
261	0.4061993074
262	0.4061604451
263	0.406000717
264	0.4059322409
265	0.4058916017
266	0.4056208814
267	0.4054721983
268	0.4053108322
269	0.4052259906
270	0.4051005692
271	0.4050438169
272	0.4049766111
273	0.4047495008
274	0.4045782502
275	0.40453564
276	0.4043853461
277	0.4043576676
278	0.4042914118
279	0.4041954644
280	0.4041764665
281	0.4041310462
282	0.4038917708
283	0.4036551162
284	0.4035854471
285	0.4035104855
286	0.4034711258
287	0.4034279584
288	0.403338819
289	0.4032344532
290	0.4031487294
291	0.4030914469
292	0.4030606911
293	0.4029645186
294	0.4028009944
295	0.4027846774
296	0.4026616733
297	0.4026134554
298	0.402545996
299	0.4025297152
300	0.4024878465
301	0.4023683768
302	0.4023091261
303	0.4022446919
304	0.4020785963
305	0.4020070611
306	0.4019470589
307	0.4018790429
308	0.4018770386
309	0.4017925586
310	0.4015735045
311	0.4014068556
312	0.4013387046
313	0.4012326517
314	0.4011565696
315	0.4010782042
316	0.4009854225
317	0.4009183918
318	0.4008717772
319	0.4007806395
320	0.4005512074
321	0.4004097241
322	0.4003003422
323	0.400193438
324	0.4001555748
325	0.3999969895
326	0.3999954208
327	0.3998560349
328	0.3997139126
329	0.3996988915
330	0.3996375735
331	0.3995621895
332	0.3994879788
333	0.3994582311
334	0.3993994003
335	0.3993424539
336	0.3993255836
337	0.399275031
338	0.399212291
339	0.3991841177
340	0.3990547205
341	0.3989921675
342	0.3989381233
343	0.3987700308
344	0.3986840326
345	0.398603079
346	0.3985432599
347	0.3984802516
348	0.3983020891
349	0.3981920365
350	0.3981717741
351	0.398128021
352	0.3980901112
353	0.3979943154
354	0.3979931827
355	0.3979249191
356	0.3978896148
357	0.3978547317
358	0.3977620052
359	0.3977167195
360	0.3976658209
361	0.3975591374
362	0.3975427685
363	0.3975097096
364	0.3974935046
365	0.3974524869
366	0.3974176602
367	0.397351061
368	0.3973194932
369	0.3972837134
370	0.3971686107
371	0.3971204105
372	0.3971198865
373	0.3970872513
374	0.3970451436
375	0.3970136748
376	0.396954705
377	0.3969390682
378	0.3969020373
379	0.3968112402
380	0.3967721321
381	0.3967365756
382	0.3966458011
383	0.3965973582
384	0.396504827
385	0.3963917458
386	0.3963271343
387	0.3962789581
388	0.3962152988
389	0.3961296594
390	0.3960597498
391	0.3959700108
392	0.3959456243
393	0.3959257109
394	0.3958712065
395	0.3958296968
396	0.3957783166
397	0.3957150097
398	0.3956767267
399	0.3956159927
400	0.3955758591
401	0.3954806088
402	0.3954320952
403	0.3954071298
404	0.3953875929
405	0.3953282809
406	0.395273717
407	0.395233034
408	0.3952324241
409	0.3951724838
410	0.3951050548
411	0.3950338466
412	0.3950233202
413	0.3950022917
414	0.3949485495
415	0.3949374087
416	0.3948802579
417	0.3948253366
418	0.394787102
419	0.3947521084
420	0.3947131355
421	0.3947048863
422	0.3946767362
423	0.3946641414
424	0.3946283079
425	0.3946128464
426	0.3946003576
427	0.3945590818
428	0.3945156123
429	0.3944271222
430	0.3943716011
431	0.3943445869
432	0.3942727784
433	0.3942516145
434	0.3942203965
435	0.3941742509
436	0.3941089178
437	0.3940781767
438	0.3940309319
439	0.3939906804
440	0.3939596904
441	0.3939379173
442	0.3939042911
443	0.3938287826
444	0.3937883635
445	0.3936970159
446	0.3936685277
447	0.3936126432
448	0.3935691626
449	0.3935311047
450	0.3934891647
451	0.393456707
452	0.3934043076
453	0.3933612417
454	0.393317918
455	0.3933121395
456	0.3932738079
457	0.3932309718
458	0.393212535
459	0.3931898485
460	0.3931668004
461	0.393055482
462	0.3929536113
463	0.3929295769
464	0.3929121827
465	0.3928944407
466	0.3928944835
467	0.3928833707
468	0.3928746716
469	0.392834215
470	0.3928121636
471	0.3927682342
472	0.3927568059
473	0.3927421242
474	0.3927188156
475	0.392686814
476	0.3926513043
477	0.3925981327
478	0.3925724762
479	0.3925632671
480	0.3925108051
481	0.3924018697
482	0.3923687204
483	0.392356182
484	0.3923322275
485	0.3923147674
486	0.3922704099
487	0.3922549041
488	0.3922126846
489	0.392180123
490	0.3921637596
491	0.3921283225
492	0.3921153654
493	0.3921022698
494	0.3920637787
495	0.3920577195
496	0.3920282569
497	0.3920103018
498	0.3920029995
499	0.3919659103
500	0.3919386838
501	0.3918981879
502	0.3918828636
503	0.391870215
504	0.3918564552
505	0.3918246397
506	0.3918222374
507	0.3918020748
508	0.3917907185
509	0.3917837641
510	0.391776336
511	0.3917562823
512	0.3917522958
513	0.3917362263
514	0.3917261365
515	0.3916796781
516	0.3916713316
517	0.391665631
518	0.3916602175
519	0.3916568592
520	0.3915559837
521	0.3915311719
522	0.3914764199
523	0.391462586
524	0.3914544213
525	0.3914353092
526	0.391410701
527	0.391390345
528	0.3913854511
529	0.3913708902
530	0.3913381295
531	0.3913270724
532	0.3912969103
533	0.3912716325
534	0.3912583301
535	0.3912530671
536	0.3912311314
537	0.3912040138
538	0.3911934965
539	0.391137554
540	0.3910575257
541	0.3910275294
542	0.3909957884
543	0.3909689917
544	0.3909555847
545	0.3909432643
546	0.3909265824
547	0.3909118588
548	0.3909046185
549	0.3908983075
550	0.3908965569
551	0.3908772886
552	0.3908693768
553	0.3908267354
554	0.3908205735
555	0.3908068418
556	0.3907855984
557	0.3907806546
558	0.3907692574
559	0.390721229
560	0.390705651
561	0.3906447668
562	0.3906191437
563	0.3906025598
564	0.3905916812
565	0.3905869259
566	0.3905514353
567	0.390534016
568	0.3905252462
569	0.3905161188
570	0.3904947983
571	0.3904840514
572	0.3904732059
573	0.3904674073
574	0.3904581374
575	0.3904499777
576	0.3904368394
577	0.3904282365
578	0.3904222352
579	0.3904194804
580	0.3904168726
581	0.3903470674
582	0.3903415469
583	0.3903160801
584	0.3902882121
585	0.3902642183
586	0.3902454689
587	0.3902399529
588	0.390216422
589	0.3902165953
590	0.3902164661
591	0.3901981636
592	0.3901742686
593	0.3901587348
594	0.3901156049
595	0.3901009005
596	0.3900890867
597	0.390080339
598	0.3900673599
599	0.3900455257
600	0.3899820025
601	0.3899374035
602	0.3899038916
603	0.3898675058
604	0.3898268351
605	0.3898077091
606	0.3897887331
607	0.389780078
608	0.3897701524
609	0.3897509537
610	0.3897482402
611	0.3897454387
612	0.3896989245
613	0.3896709137
614	0.3896312383
615	0.3896270575
616	0.3896158138
617	0.3895479087
618	0.3895421396
619	0.3895253359
620	0.3894982836
621	0.3894870435
622	0.3894679138
623	0.3894066843
624	0.3894000384
625	0.3893939688
626	0.3893786504
627	0.3893652677
628	0.3893652241
629	0.3893572846
630	0.3893474808
631	0.3893047361
632	0.3893003855
633	0.38929117
634	0.3892530271
635	0.3892226577
636	0.3891990972
637	0.3891904502
638	0.3891828624
639	0.389162937
640	0.3891216583
641	0.3890800328
642	0.3890175884
643	0.3889955366
644	0.3889795739
645	0.3889723056
646	0.388950606
647	0.3889274758
648	0.3888796275
649	0.3888542491
650	0.3888289035
651	0.3888289034
652	0.3887865475
653	0.3887741334
654	0.3887592946
655	0.3887458444
656	0.388738231
657	0.3887208058
658	0.3886814274
659	0.388654713
660	0.3886546705
661	0.3886279999
662	0.3886153912
663	0.3885883549
664	0.3885445099
665	0.3885244366
666	0.3884953474
667	0.3884712951
668	0.3884448912
669	0.3884373357
670	0.3884118234
671	0.3884071675
672	0.3883803369
673	0.3883579532
674	0.3883441189
675	0.3883307503
676	0.3883092773
677	0.3882563028
678	0.3881998072
679	0.3881672401
680	0.3881543739
681	0.3881245002
682	0.3880713366
683	0.3880540601
684	0.3880446067
685	0.3879958784
686	0.3879692409
687	0.3879619553
688	0.3879595002
689	0.387898102
690	0.3878820547
691	0.3878740336
692	0.3878687828
693	0.3878439201
694	0.3878283201
695	0.3878219885
696	0.3878075261
697	0.3877839873
698	0.3877702932
699	0.3877646676
700	0.3877312746
701	0.3877121079
702	0.3877073529
703	0.3876933113
704	0.3876769624
705	0.3876561883
706	0.3876275469
707	0.3876212494
708	0.387613165
709	0.3875815492
710	0.3875486445
711	0.3875112596
712	0.3874979129
713	0.3874759667
714	0.3874624356
715	0.387442305
716	0.3874237347
717	0.3873999595
718	0.3873803631
719	0.3873732668
720	0.3873502821
721	0.387336195
722	0.3872970739
723	0.3872773676
724	0.3872704425
725	0.3872471432
726	0.387237301
727	0.3872146439
728	0.3871845885
729	0.3871617811
730	0.3871479952
731	0.387137678
732	0.3871235399
733	0.3871127479
734	0.3870822119
735	0.3870682608
736	0.3870405863
737	0.3870093489
738	0.3869981805
739	0.3869469148
740	0.3869331909
741	0.3869079578
742	0.3868983273
743	0.3868712551
744	0.3868430765
745	0.3868341452
746	0.3868198354
747	0.3867902104
748	0.3867416203
749	0.3867332965
750	0.3867196538
751	0.3866859892
752	0.3866514972
753	0.3866433497
754	0.3866365895
755	0.3866261005
756	0.3866039169
757	0.3865892926
758	0.3865761836
759	0.386541079
760	0.3865241842
761	0.3865039429
762	0.3864870578
763	0.3864747609
764	0.3864648621
765	0.3864272591
766	0.38637516
767	0.3863498195
768	0.3863207467
769	0.3862958997
770	0.3862818209
771	0.3862490954
772	0.386214782
773	0.386204069
774	0.386190565
775	0.3861746698
776	0.3861690395
777	0.3861423832
778	0.3861360627
779	0.3861232209
780	0.3861146385
781	0.3860891369
782	0.3860743487
783	0.3860263392
784	0.3860198528
785	0.3860136532
786	0.3859689743
787	0.3859454162
788	0.3859354353
789	0.3859230695
790	0.3858939319
791	0.3858678987
792	0.3858542486
793	0.3858396591
794	0.3858268689
795	0.3858168722
796	0.3858101858
797	0.3857805447
798	0.3857597569
799	0.385734235
800	0.3857271064
801	0.3856687433
802	0.3856664761
803	0.3856368453
804	0.385620716
805	0.3855948035
806	0.3855666481
807	0.385530126
808	0.3855167244
809	0.3854951506
810	0.3854665475
811	0.3854381331
812	0.3854244094
813	0.3854068515
814	0.3853954691
815	0.3853559133
816	0.3853338217
817	0.3853287479
818	0.3853199528
819	0.3853107892
820	0.3852847527
821	0.3852754429
822	0.3852674665
823	0.3852559513
824	0.3852471918
825	0.3852232841
826	0.385183791
827	0.3851628178
828	0.3851547624
829	0.3851257064
830	0.3850929342
831	0.3850696955
832	0.3850471235
833	0.385039537
834	0.3850079438
835	0.3849929644
836	0.3849574977
837	0.3849345937
838	0.3849097219
839	0.3848815393
840	0.3848537223
841	0.3848367857
842	0.3848247639
843	0.3847840359
844	0.3847766149
845	0.3847362732
846	0.3847292657
847	0.3847157464
848	0.3847091329
849	0.3846864833
850	0.3846528264
851	0.3846464138
852	0.3846129773
853	0.3845955139
854	0.3845831276
855	0.384563591
856	0.3845341282
857	0.3845023254
858	0.3844864429
859	0.3844759375
860	0.3844628214
861	0.3844328014
862	0.3844131665
863	0.3843875131
864	0.3843765019
865	0.3843640412
866	0.384333933
867	0.3843041294
868	0.3842898743
869	0.3842624465
870	0.3842489303
871	0.3842321116
872	0.3842193298
873	0.3841897725
874	0.3841558943
875	0.3840992635
876	0.3840641953
877	0.3840386727
878	0.3840255944
879	0.3840195687
880	0.3840120736
881	0.384006007
882	0.3839760325
883	0.3839547767
884	0.3839206906
885	0.383904144
886	0.3838814259
887	0.3838554351
888	0.3838433104
889	0.3838118544
890	0.3838062629
891	0.3838011905
892	0.3837659611
893	0.3837593265
894	0.3837542169
895	0.383729646
896	0.3837138372
897	0.3837070864
898	0.3836926207
899	0.3836849067
900	0.3836749035
901	0.3836630169
902	0.3836527061
903	0.3836235375
904	0.3836168424
905	0.3835935298
906	0.3835629153
907	0.3835501629
908	0.3835178801
909	0.3835111203
910	0.3834993837
911	0.3834692324
912	0.3834294127
913	0.3833767989
914	0.3833565281
915	0.3833271559
916	0.3833052207
917	0.3832672195
918	0.3832553532
919	0.3832313368
920	0.3832222871
921	0.3832144415
922	0.3831891679
923	0.3831804201
924	0.3831757817
925	0.383162565
926	0.3831345253
927	0.3831064933
928	0.3830759076
929	0.3830394232
930	0.383009921
931	0.3829743464
932	0.3829664148
933	0.3829552852
934	0.3829194192
935	0.3829079854
936	0.3829021787
937	0.3828703294
938	0.3828437265
939	0.3828381365
940	0.3828146931
941	0.3827876609
942	0.3827822442
943	0.3827673313
944	0.3827326668
945	0.3827098752
946	0.3826548533
947	0.3826492199
948	0.3826154655
949	0.3825968645
950	0.3825724685
951	0.3825512824
952	0.3825243691
953	0.3824916115
954	0.3824593738
955	0.3824329916
956	0.3824198993
957	0.3824097797
958	0.3823837868
959	0.3823797125
960	0.3823554498
961	0.3823321261
962	0.3823015335
963	0.382288008
964	0.3822828947
965	0.3822590588
966	0.3822340192
967	0.3822001364
968	0.3821707564
969	0.3821665955
970	0.3821178485
971	0.3820893075
972	0.3820841074
973	0.3820790374
974	0.3820750933
975	0.3820444156
976	0.382020672
977	0.3819973617
978	0.3819935476
979	0.3819617447
980	0.3819151267
981	0.3818757332
982	0.3818534615
983	0.3818225238
984	0.3818156321
985	0.381810908
986	0.3817963912
987	0.3817704786
988	0.3817471629
989	0.3817271735
990	0.3817075158
991	0.3816708172
992	0.3816484572
993	0.381641609
994	0.3816130129
995	0.3816046045
996	0.3815803441
997	0.3815714497
998	0.3815677221
999	0.3815454897
